#k   pk
1.000000000000000048e-04 2.826758561358388420e+02
1.009962701490044103e-04 2.853917801686263260e+02
1.020024658401067950e-04 2.881337734472580223e+02
1.030186859585201920e-04 2.909020855284101117e+02
1.040450303746215301e-04 2.936969683470835548e+02
1.050815999537664552e-04 2.965186762391284105e+02
1.061284965662020682e-04 2.993674659607422086e+02
1.071858230970783131e-04 3.022435966045752025e+02
1.082536834565591782e-04 3.051473295936326622e+02
1.093321825900345933e-04 3.080789288261244110e+02
1.104214264884341060e-04 3.110386607067426894e+02
1.115215221986432323e-04 3.140267941702446137e+02
1.126325778340236326e-04 3.170436007052501850e+02
1.137547025850381714e-04 3.200893543782620441e+02
1.148880067299816590e-04 3.231643318579063475e+02
1.160326016458186447e-04 3.262688124393995395e+02
1.171885998191291294e-04 3.294030780692448275e+02
1.183561148571633478e-04 3.325674133701551796e+02
1.195352614990066389e-04 3.357621056662081287e+02
1.207261556268556093e-04 3.389874450082310773e+02
1.219289142774065792e-04 3.422437241994283568e+02
1.231436556533575442e-04 3.455312388212431642e+02
1.243704991350247379e-04 3.488502872594539781e+02
1.256095652920747837e-04 3.522011707305214259e+02
1.268609758953739126e-04 3.555841933081742923e+02
1.281248539289552111e-04 3.589996619502429098e+02
1.294013236021049004e-04 3.624478865257424332e+02
1.306905103615692602e-04 3.659291798422038937e+02
1.319925409038830914e-04 3.694438576732621868e+02
1.333075431878209111e-04 3.729922387858647426e+02
1.346356464469723420e-04 3.765746448302005547e+02
1.359769812024426471e-04 3.801914001872820563e+02
1.373316792756799248e-04 3.838428322564134305e+02
1.386998738014299972e-04 3.875292715251771938e+02
1.400816992408204266e-04 3.912510515981240360e+02
1.414772913945748522e-04 3.950085092257182282e+02
1.428867874163590045e-04 3.988019843335458745e+02
1.443103258262595605e-04 4.026318200517965238e+02
1.457480465243976033e-04 4.064983627450036465e+02
1.472000908046772270e-04 4.104019620420608589e+02
1.486666013686716188e-04 4.143429708665078124e+02
1.501477223396470786e-04 4.183217454670924553e+02
1.516435992767270089e-04 4.223386454486087018e+02
1.531543791891969055e-04 4.263940338030217276e+02
1.546802105509518935e-04 4.304882769408619652e+02
1.562212433150881913e-04 4.346217447229155368e+02
